gaul2_code,map_code,gaul0_name,gaul1_name,gaul2_name,continent,disp_en
131447,THA,Thailand,Samut Prakan,Phra Samut Chedi,Asia,"Phra Samut Chedi, Samut Prakan, Thailand"
131448,THA,Thailand,Samut Sakhon,Ban Phaeo,Asia,"Ban Phaeo, Samut Sakhon, Thailand"
131449,THA,Thailand,Samut Sakhon,Krathum Baen,Asia,"Krathum Baen, Samut Sakhon, Thailand"
131450,THA,Thailand,Samut Sakhon,Mueang Samut Sakhon,Asia,"Mueang Samut Sakhon, Samut Sakhon, Thailand"
131451,THA,Thailand,Samut Songkhram,Amphawa,Asia,"Amphawa, Samut Songkhram, Thailand"
131452,THA,Thailand,Samut Songkhram,Bang Khonthi,Asia,"Bang Khonthi, Samut Songkhram, Thailand"
131453,THA,Thailand,Samut Songkhram,Mueang Samut Songkhram,Asia,"Mueang Samut Songkhram, Samut Songkhram, Thailand"
131454,THA,Thailand,Saraburi,Ban Mo,Asia,"Ban Mo, Saraburi, Thailand"
131455,THA,Thailand,Saraburi,Chaloem Phra Kiat,Asia,"Chaloem Phra Kiat, Saraburi, Thailand"
131456,THA,Thailand,Saraburi,Don Phut,Asia,"Don Phut, Saraburi, Thailand"
132369,TUR,Türkiye,Kocaeli,Kartepe,Asia,"Kartepe, Kocaeli, Türkiye"
132370,TUR,Türkiye,Kocaeli,Korfez,Asia,"Korfez, Kocaeli, Türkiye"
131457,THA,Thailand,Saraburi,Kaeng Khoi,Asia,"Kaeng Khoi, Saraburi, Thailand"
131458,THA,Thailand,Saraburi,Muak Lek,Asia,"Muak Lek, Saraburi, Thailand"
131459,THA,Thailand,Saraburi,Mueang Saraburi,Asia,"Mueang Saraburi, Saraburi, Thailand"
131460,THA,Thailand,Saraburi,Nong Don,Asia,"Nong Don, Saraburi, Thailand"
131461,THA,Thailand,Saraburi,Nong Khae,Asia,"Nong Khae, Saraburi, Thailand"
131462,THA,Thailand,Saraburi,Nong Saeng,Asia,"Nong Saeng, Saraburi, Thailand"
131463,THA,Thailand,Saraburi,Phra Phutthabat,Asia,"Phra Phutthabat, Saraburi, Thailand"
131464,THA,Thailand,Saraburi,Sao Hai,Asia,"Sao Hai, Saraburi, Thailand"
131465,THA,Thailand,Saraburi,Wang Muang,Asia,"Wang Muang, Saraburi, Thailand"
131466,THA,Thailand,Saraburi,Wihan Daeng,Asia,"Wihan Daeng, Saraburi, Thailand"
131467,THA,Thailand,Satun,Khuan Don,Asia,"Khuan Don, Satun, Thailand"
131470,THA,Thailand,Satun,Manang,Asia,"Manang, Satun, Thailand"
131471,THA,Thailand,Satun,Mueang Satun,Asia,"Mueang Satun, Satun, Thailand"
131472,THA,Thailand,Satun,Tha Phae,Asia,"Tha Phae, Satun, Thailand"
131473,THA,Thailand,Satun,Thung Wa,Asia,"Thung Wa, Satun, Thailand"
131468,THA,Thailand,Satun,Khuan Kalong,Asia,"Khuan Kalong, Satun, Thailand"
131469,THA,Thailand,Satun,La-Ngu,Asia,"La-Ngu, Satun, Thailand"
131478,THA,Thailand,Si Sa Ket,Kanthararom,Asia,"Kanthararom, Si Sa Ket, Thailand"
